x,y
-5,-4
-4.999,-3.96901
-4.998,-3.93804
-4.997,-3.9071
-4.996,-3.87618
-4.995,-3.84527
-4.994,-3.8144
-4.993,-3.78354
-4.992,-3.7527
-4.991,-3.72189
-4.99,-3.6911
-4.989,-3.66033
-4.988,-3.62958
-4.987,-3.59886
-4.986,-3.56815
-4.985,-3.53747
-4.984,-3.50681
-4.983,-3.47617
-4.982,-3.44556
-4.981,-3.41496
-4.98,-3.38439
-4.979,-3.35384
-4.978,-3.32331
-4.977,-3.29281
-4.976,-3.26232
-4.975,-3.23186
-4.974,-3.20142
-4.973,-3.171
-4.972,-3.1406
-4.971,-3.11023
-4.97,-3.07987
-4.969,-3.04954
-4.968,-3.01923
-4.967,-2.98894
-4.966,-2.95868
-4.965,-2.92843
-4.964,-2.89821
-4.963,-2.86801
-4.962,-2.83783
-4.961,-2.80767
-4.96,-2.77754
-4.959,-2.74742
-4.958,-2.71733
-4.957,-2.68726
-4.956,-2.65721
-4.955,-2.62718
-4.954,-2.59718
-4.953,-2.5672
-4.952,-2.53723
-4.951,-2.50729
-4.95,-2.47737
-4.949,-2.44748
-4.948,-2.4176
-4.947,-2.38775
-4.946,-2.35792
-4.945,-2.32811
-4.944,-2.29832
-4.943,-2.26855
-4.942,-2.23881
-4.941,-2.20909
-4.94,-2.17938
-4.939,-2.1497
-4.938,-2.12005
-4.937,-2.09041
-4.936,-2.06079
-4.935,-2.0312
-4.934,-2.00163
-4.933,-1.97208
-4.932,-1.94255
-4.931,-1.91304
-4.93,-1.88356
-4.929,-1.85409
-4.928,-1.82465
-4.927,-1.79523
-4.926,-1.76583
-4.925,-1.73645
-4.924,-1.7071
-4.923,-1.67776
-4.922,-1.64845
-4.921,-1.61916
-4.92,-1.58989
-4.919,-1.56064
-4.918,-1.53141
-4.917,-1.50221
-4.916,-1.47302
-4.915,-1.44386
-4.914,-1.41472
-4.913,-1.3856
-4.912,-1.3565
-4.911,-1.32743
-4.91,-1.29837
-4.909,-1.26934
-4.908,-1.24033
-4.907,-1.21133
-4.906,-1.18237
-4.905,-1.15342
-4.904,-1.12449
-4.903,-1.09559
-4.902,-1.0667
